Date,Open,High,Low,Close,Adj Close,Volume
2014-11-05,378.226013,399.498535,378.399139,395.809723,395.809723,23105048
2014-11-06,395.777100,412.199005,393.516296,408.001404,408.001404,21956547
2014-11-07,408.618134,412.455566,396.262024,396.680969,396.680969,19502085
2014-11-08,396.378571,402.029663,396.378571,400.240967,400.240967,9888172
2014-11-09,400.111237,420.522736,398.812561,420.298523,420.298523,28006016
2014-11-10,419.142670,434.871796,412.649750,425.567169,425.567169,35316748
2014-11-11,424.329620,430.804047,420.794739,422.443726,422.443726,18197266
2014-11-12,422.776855,492.626373,422.971252,486.404449,486.404449,52576022
2014-11-13,490.667206,525.575500,460.161743,483.436737,483.436737,67729519
2014-11-14,480.773285,481.843475,442.642365,455.013153,455.013153,33843303
2014-11-15,457.108551,463.831665,424.348602,430.210449,430.210449,17988677
2014-11-16,428.605743,446.985016,428.459320,443.243042,443.243042,13604845
2014-11-17,443.776703,469.281555,433.213226,444.989655,444.989655,47689869
2014-11-18,445.422699,450.725952,425.885925,430.915344,430.915344,37007580
2014-11-19,429.420013,446.489136,429.568024,442.402924,442.402924,22008603
2014-11-20,442.114624,443.905396,413.899078,415.127594,415.127594,29272854
2014-11-21,415.172852,414.884064,398.924194,404.902466,404.902466,34449048
2014-11-22,405.774963,421.051361,404.937103,407.293732,407.293732,17626082
2014-11-23,407.587982,427.684235,407.587982,423.568787,423.568787,17459783
2014-11-24,422.848572,449.615662,422.381073,438.256989,438.256989,35965233
2014-11-25,438.239532,462.125031,439.474670,438.695648,438.695648,29736092
2014-11-26,439.479919,442.321106,428.606934,431.852295,431.852295,21807386
2014-11-27,434.351715,435.786530,432.103729,433.579651,433.579651,10260415
2014-11-28,433.232452,449.921265,420.771210,442.774628,442.774628,26989532
2014-11-29,442.427673,455.893921,437.714630,441.650208,441.650208,18084686
2014-11-30,441.672546,449.925903,439.083740,447.922974,447.922974,10893886
2014-12-01,448.162323,454.737457,446.448975,447.381134,447.381134,13876371
2014-12-02,447.387054,453.035278,445.750854,450.833527,450.833527,14618231
2014-12-03,451.314728,455.820526,445.278931,446.706390,446.706390,15890530
2014-12-04,447.549713,451.263245,438.382416,440.739319,440.739319,17326020
2014-12-05,440.546143,455.650055,436.150757,452.786255,452.786255,18240779
2014-12-06,452.669708,454.701416,445.686646,450.300385,450.300385,8421627
2014-12-07,450.361633,433.616028,448.486115,451.540863,451.540863,7814674
2014-12-08,451.384369,452.992401,436.270020,436.140045,436.140045,22775006
2014-12-09,436.123138,439.442017,414.853851,424.616028,424.616028,39681133
2014-12-10,424.599152,424.661377,415.854218,415.854218,415.854218,19723496
2014-12-11,413.422974,434.114594,406.093262,425.216553,425.216553,39344049
2014-12-12,425.613251,427.858185,422.461273,427.738403,427.738403,20613686
2014-12-13,427.543091,427.543091,420.514465,421.470520,421.470520,14166343
2014-12-14,420.683075,428.313751,419.094879,428.349365,428.349365,15123888
2014-12-15,428.019226,428.207153,420.190033,420.639465,420.639465,21028258
2014-12-16,421.038971,421.060394,397.885651,397.885651,397.885651,37548540
2014-12-17,397.633820,406.220673,385.365631,393.618896,393.618896,46243107
2014-12-18,393.630005,396.896790,372.741974,381.238983,381.238983,47959109
2014-12-19,380.973297,391.270111,375.069092,390.422546,390.422546,29263113
2014-12-20,390.147400,405.754822,388.212769,405.301544,405.301544,25619334
2014-12-21,404.794250,404.899872,391.724609,393.865692,393.865692,18668795
2014-12-22,394.141907,409.156250,392.629578,408.877655,408.877655,27491807
2014-12-23,409.039063,415.579559,405.564148,412.695190,412.695190,20444307
2014-12-24,412.464539,413.056519,396.443359,397.601074,397.601074,18604906
2014-12-25,397.295380,397.866852,390.727325,393.545502,393.545502,12192993
2014-12-26,393.723175,408.258209,389.742767,404.096130,404.096130,20222428
2014-12-27,403.675903,405.312408,385.249542,389.233521,389.233521,18712508
